GenreKey,GenreID,GenreName,MovieKey
1,G0008,Drama,1
2,G0021,Sci-Fi,1
3,G0006,Crime,1
4,G0016,Musical,2
5,G0002,Adventure,2
6,G0009,Family,2
7,G0003,Animation,2
8,G0009,Family,3
9,G0008,Drama,3
10,G0007,Documentary,3
11,G0011,Film-Noir,3
12,G0005,Comedy,3
13,G0023,Sport,4
14,G0010,Fantasy,4
15,G0025,War,4
16,G0004,Biography,4
17,G0020,Romance,4
18,G0023,Sport,5
19,G0006,Crime,5
20,G0025,War,5
21,G0010,Fantasy,5
22,G0021,Sci-Fi,6
23,G0005,Comedy,6
24,G0013,History,6
25,G0002,Adventure,6
26,G0019,Reality-TV,6
27,G0026,Western,6
28,G0005,Comedy,7
29,G0021,Sci-Fi,7
30,G0008,Drama,7
31,G0013,History,8
32,G0002,Adventure,8
33,G0018,News,8
34,G0004,Biography,8
35,G0025,War,9
36,G0010,Fantasy,9
37,G0020,Romance,9
38,G0001,Action,9
39,G0019,Reality-TV,9
40,G0021,Sci-Fi,9
41,G0025,War,10
42,G0017,Mystery,10
43,G0007,Documentary,10
44,G0021,Sci-Fi,10
45,G0004,Biography,10
46,G0013,History,11
47,G0001,Action,11
48,G0003,Animation,11
49,G0018,News,12
50,G0009,Family,12
51,G0019,Reality-TV,12
52,G0024,Thriller,13
53,G0015,Music,13
54,G0013,History,13
55,G0001,Action,14
56,G0019,Reality-TV,14
57,G0011,Film-Noir,14
58,G0022,Short,14
59,G0003,Animation,14
60,G0006,Crime,14
61,G0007,Documentary,15
62,G0010,Fantasy,15
63,G0009,Family,15
64,G0021,Sci-Fi,16
65,G0008,Drama,16
66,G0003,Animation,16
67,G0001,Action,16
68,G0013,History,17
69,G0004,Biography,17
70,G0018,News,17
71,G0009,Family,17
72,G0023,Sport,17
73,G0026,Western,18
74,G0023,Sport,18
75,G0011,Film-Noir,18
76,G0015,Music,19
77,G0003,Animation,19
78,G0021,Sci-Fi,19
79,G0001,Action,19
80,G0025,War,20
81,G0008,Drama,20
82,G0001,Action,20
83,G0004,Biography,20
84,G0016,Musical,21
85,G0001,Action,21
86,G0023,Sport,21
87,G0025,War,21
88,G0017,Mystery,21
89,G0012,Game-Show,21
90,G0002,Adventure,22
91,G0016,Musical,22
92,G0008,Drama,22
93,G0014,Horror,22
94,G0025,War,22
95,G0015,Music,22
96,G0012,Game-Show,23
97,G0013,History,23
98,G0010,Fantasy,23
99,G0006,Crime,23
100,G0022,Short,24
101,G0001,Action,24
102,G0018,News,24
103,G0004,Biography,24
104,G0021,Sci-Fi,24
105,G0008,Drama,24
106,G0025,War,25
107,G0009,Family,25
108,G0013,History,25
109,G0001,Action,25
110,G0018,News,25
111,G0003,Animation,25
112,G0021,Sci-Fi,26
113,G0004,Biography,26
114,G0018,News,26
115,G0010,Fantasy,27
116,G0013,History,27
117,G0003,Animation,27
118,G0004,Biography,27
119,G0001,Action,27
120,G0021,Sci-Fi,28
121,G0001,Action,28
122,G0014,Horror,28
123,G0026,Western,29
124,G0017,Mystery,29
125,G0025,War,29
126,G0006,Crime,29
127,G0001,Action,29
128,G0012,Game-Show,30
129,G0002,Adventure,30
130,G0017,Mystery,30
131,G0024,Thriller,30
132,G0002,Adventure,31
133,G0016,Musical,31
134,G0009,Family,31
135,G0015,Music,31
136,G0026,Western,32
137,G0018,News,32
138,G0024,Thriller,32
139,G0013,History,32
140,G0005,Comedy,32
141,G0025,War,33
142,G0010,Fantasy,33
143,G0005,Comedy,33
144,G0017,Mystery,34
145,G0013,History,34
146,G0014,Horror,34
147,G0007,Documentary,35
148,G0016,Musical,35
149,G0002,Adventure,35
150,G0018,News,35
151,G0014,Horror,35
152,G0022,Short,35
153,G0025,War,36
154,G0019,Reality-TV,36
155,G0015,Music,36
156,G0013,History,36
157,G0014,Horror,36
158,G0026,Western,37
159,G0019,Reality-TV,37
160,G0024,Thriller,37
161,G0021,Sci-Fi,37
162,G0022,Short,37
163,G0017,Mystery,37
164,G0003,Animation,38
165,G0020,Romance,38
166,G0004,Biography,38
167,G0013,History,38
168,G0004,Biography,39
169,G0017,Mystery,39
170,G0009,Family,39
171,G0021,Sci-Fi,39
172,G0005,Comedy,39
173,G0026,Western,40
174,G0002,Adventure,40
175,G0014,Horror,40
176,G0020,Romance,40
177,G0025,War,41
178,G0016,Musical,41
179,G0007,Documentary,41
180,G0020,Romance,41
181,G0001,Action,42
182,G0019,Reality-TV,42
183,G0012,Game-Show,42
184,G0026,Western,43
185,G0010,Fantasy,43
186,G0013,History,43
187,G0007,Documentary,44
188,G0018,News,44
189,G0010,Fantasy,44
190,G0020,Romance,45
191,G0008,Drama,45
192,G0019,Reality-TV,45
193,G0012,Game-Show,45
194,G0010,Fantasy,45
195,G0024,Thriller,46
196,G0014,Horror,46
197,G0013,History,46
198,G0016,Musical,46
199,G0005,Comedy,47
200,G0013,History,47
201,G0004,Biography,47
202,G0007,Documentary,47
203,G0026,Western,48
204,G0009,Family,48
205,G0023,Sport,48
206,G0015,Music,48
207,G0025,War,49
208,G0017,Mystery,49
209,G0011,Film-Noir,49
210,G0007,Documentary,49
211,G0025,War,50
212,G0008,Drama,50
213,G0017,Mystery,50
214,G0010,Fantasy,50
215,G0001,Action,50
216,G0011,Film-Noir,50
217,G0022,Short,51
218,G0008,Drama,51
219,G0020,Romance,51
220,G0004,Biography,51
221,G0026,Western,52
222,G0022,Short,52
223,G0013,History,52
224,G0016,Musical,52
225,G0001,Action,53
226,G0019,Reality-TV,53
227,G0024,Thriller,53
228,G0014,Horror,54
229,G0022,Short,54
230,G0013,History,54
231,G0002,Adventure,55
232,G0021,Sci-Fi,55
233,G0003,Animation,55
234,G0017,Mystery,55
235,G0022,Short,55
236,G0026,Western,56
237,G0020,Romance,56
238,G0009,Family,56
239,G0013,History,56
240,G0011,Film-Noir,56
241,G0002,Adventure,56
242,G0023,Sport,57
243,G0009,Family,57
244,G0006,Crime,57
245,G0020,Romance,58
246,G0018,News,58
247,G0019,Reality-TV,58
248,G0022,Short,58
249,G0016,Musical,58
250,G0012,Game-Show,59
251,G0016,Musical,59
252,G0010,Fantasy,59
253,G0011,Film-Noir,59
254,G0026,Western,60
255,G0012,Game-Show,60
256,G0018,News,60
257,G0017,Mystery,60
258,G0013,History,60
259,G0021,Sci-Fi,60
260,G0007,Documentary,61
261,G0020,Romance,61
262,G0006,Crime,61
263,G0026,Western,62
264,G0006,Crime,62
265,G0013,History,62
266,G0016,Musical,62
267,G0005,Comedy,63
268,G0016,Musical,63
269,G0022,Short,63
270,G0013,History,63
271,G0024,Thriller,64
272,G0023,Sport,64
273,G0006,Crime,64
274,G0002,Adventure,64
275,G0010,Fantasy,64
276,G0015,Music,65
277,G0006,Crime,65
278,G0001,Action,65
279,G0020,Romance,66
280,G0008,Drama,66
281,G0023,Sport,66
282,G0011,Film-Noir,66
283,G0007,Documentary,66
284,G0017,Mystery,67
285,G0006,Crime,67
286,G0014,Horror,67
287,G0020,Romance,67
288,G0025,War,68
289,G0017,Mystery,68
290,G0003,Animation,68
291,G0004,Biography,68
292,G0002,Adventure,68
293,G0017,Mystery,69
